"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","7","0","","0"
"0","Dashboard","0","Statistics","1","0","View Stats","0"
"0","Projects","0","Details","1","0","View Project","0"
"0","Dashboard","0","Navigation","1","0","Go to Projects","0"
"0","Projects","0","Listing","1","0","View All Projects","0"
"0","Projects","0","Creation","1","0","Valid Data","0"
"0","Core Infrastructure","0","Health Checks","1","0","Basic Ping","0"
"0","Qualidade e E2E","1","Fluxo Principal do Pesquisador","0","0","Caminho Feliz: Login, Upload e Visualização de Trilha","0"
"0","Authentication","0","Login","1","0","Invalid Credentials","0"
"0","Authentication","0","Login","1","0","Valid Credentials","0"
